"Acronym / Term","Full Name (English)","Hindi / Regional Term","Administrative Level","Primary Function & Jurisdiction","RAG Query Triggers / Keywords"
"Tele-MANAS (14416)","Tele Mental Health Assistance and Networking Across States","टेली-मानस","National (MoHFW)","24×7 comprehensive national mental health tele-counseling service; 20+ languages; free and confidential. pib.gov+2","mental health, depressed, anxiety, suicide, counseling, psychiatrist, 14416"
"KIRAN (1800-599-0019)","KIRAN Mental Health Rehabilitation Helpline","किरण हेल्पलाइन","National (MoSJE)","24×7 toll-free mental health support and rehabilitation; 13 languages; for persons with mental illness and caregivers. pib.gov+1","mental health, rehabilitation, psychosis, schizophrenia, caregiver support, 1800-599-0019"
"iCALL (9152987821)","iCALL Psychosocial Helpline (TISS)","आई-कॉल","National NGO (TISS)","Professional tele-counseling Mon–Sat 8 AM–10 PM; free, confidential; referrals to therapists. icallhelpline+2","counseling, student stress, relationship, trauma, TISS, 9152987821"
"Vandrevala Foundation (1860-266-2345)","Vandrevala Foundation Mental Health Helpline","वान्द्रेवाला फाउंडेशन","National NGO","24×7 crisis intervention, suicide prevention, depression, anxiety; phone/WhatsApp/chat. indianexpress+2","suicide, crisis, panic attack, WhatsApp helpline, 1860-266-2345"
"AASRA (9820466726)","AASRA Suicide Prevention Helpline","आसरा","National NGO (Mumbai-based)","24×7 suicide prevention and emotional support; confidential; takes calls nationally. findahelpline+2","suicide, suicidal thoughts, lonely, distressed, 9820466726"
"Snehi Helpline (9582208181)","Snehi Crisis Intervention Tele-Counseling","स्नेही","National NGO","10 AM–10 PM daily; suicide prevention, emotional support; English/Hindi/Marathi. iasp.findahelpline+2","suicide prevention, emotional support, Marathi helpline, 9582208181"
"108 / 102","National Ambulance Service (NAS) / Emergency Ambulance","नेशनल एम्बुलेंस सर्विस","State/UT (MoHFW)","Free emergency ambulance for accidents, trauma, maternal/child emergencies; integrated with 112 ERSS. india+1","ambulance, accident, emergency medical, 108, 102"
"112 (ERSS)","Emergency Response Support System (Single Emergency Number)","एकल आपातकालीन नंबर","National (MHA)","Unified emergency number integrating police (100), fire (101), ambulance (102/108), women (181), child (1098). india+2","emergency, police, fire, ambulance, women safety, child protection, 112"
"1098","Childline India (Child Helpline)","चाइल्डलाइन","National (MWCD/NCPCR)","24×7×365 free helpline for children in distress, abuse, trafficking; integrated with ERSS-112. pib.gov+1","child abuse, missing child, child trafficking, 1098, Childline"
"181","Women Helpline (Sambal – Mission Shakti)","महिला हेल्पलाइन","National (MWCD)","24×7 toll-free support for women in emergency and non-emergency situations; police, legal, medical, shelter. pib.gov+1","women safety, domestic violence, harassment, 181, Sambal"
"1091","Women Police Helpline (State-specific)","महिला पुलिस हेल्पलाइन","State Police","Women in distress, harassment, domestic violence; availability varies by state; integrated with 112. indianeagle+1","women police, harassment, molestation, 1091"
"Elderline (14567)","National Helpline for Senior Citizens","एल्डरलाइन","National (MoSJE)","8 AM–8 PM daily; information, guidance, emotional support, field intervention for abuse/neglect of seniors. pib.gov+2","senior citizen, elderly, abuse, neglect, pension, 14567"
"MANAS (1933)","National Narcotics Helpline (Madak-Padarth Nished Asoochna Kendra)","मनास हेल्पलाइन","National (NCB/MoH)","Toll-free for reporting drug trafficking, illicit cultivation; also provides counseling and referral. pib.gov+1","drugs, narcotics, trafficking, de-addiction, 1933, MANAS"
"Drug De-addiction Helpline (14446)","Drug De-addiction Programme Tele-counseling","नशा मुक्त हेल्पलाइन","National (MoSJE/MoHFW)","24×7 primary counseling and referral to de-addiction centers; integrated with MANAS and Tele-MANAS. pib+1","alcoholism, drug abuse, de-addiction, rehabilitation, 14446"
"1097","NACO AIDS Helpline (National AIDS Control Organisation)","एड्स हेल्पलाइन","National (NACO/MoHFW)","Toll-free HIV/AIDS information, counseling, testing center locator, PEP/ART guidance. [search needed]","AIDS, HIV, PEP, ART, testing, 1097, NACO"
"104","State Health Helpline / Tele-triage","स्वास्थ्य हेल्पलाइन","State/UT (MoHFW)","State-specific medical advice, disease information, appointment booking; numbers vary by state. [search needed]","fever, symptoms, doctor appointment, telemedicine, 104"
